Name something that you associate with Egypt...,Pyramids*Pyramid,Sphynx*Sphinx,Camels*Camel,Nile*River*Nile River,Dessert*Sand*Desert
Name a kind of food that gets stuck between your teeth,Corn,Pork*Lamb*Meat*Beef*Chicken*Turkey,Spinach*Spinich,Caramel*Caramal*Carimel,Nut*Walnut*Nuts*Cashew*Chestnut*Almond*Peanut
Name an occupation whose people have big egos...,Hollywood*Actress*Actor*Movie,Lawyer*Attorney*Prosecuter*Prosecutor,Physician*Surgeon*Medic*Doc,Politic*Politician*Diplomat,Athlete*Basketball*Player*Pro Athlete*Hockey*Football*Baseball
Name a place in front of which people double park for a minute...,Post*Post Office*Mail,Store,Bank,Hospital,Dry Cleaners*Cleaner
Name something you don't do as much of in cold weather...,Garden,Pool*Swim,Hike*Walk/Run*Walk*Stroll*Run,Grill*Barbecue*Cookout*BBQ,Tan*Sunbathe
Name a food you wouldn't eat with your fingers...,Spagetti*Spaghetti*Spahgetti*Noodle*Spageti*Spagheti,Soup,Mashed*Mashed Potatoes,IceCream*Ice Cream,Pudding
Name something you see in every deli...,Ham*Pork*Lamb*Meat*Beef*Chicken*Turkey,Pickles*Pickle,Cheese,Bread,Potato Salad*Potato
"Past or present, name a famous artist...",Picasso*Picaso*Piccaso*Piccasso*Pablo Picasso,Vangogh*Van goh*Van gogh*Vangoh*Vincent van Gogh,Vinchi*Leonardo*Vinci*Leonardo da Vinci,Michelangelo*Michaelangelo,Rembrandt*Rembrant*Rembrandt van Rijn
Name something you might forget in a restaurant...,Wallet*Walett*Purse/Wallet*Purse,Jacket*Coat,To Leave A Tip*Tip,Hat,Umbrella
Name something in the house that is very difficult to move...,Fridge*Refrig*Refrigerator,Piano,Sofa*Couch*Armchair,Mattress*Matress*Mattres*Bed,Dresser*Cadenza*Armoir
Name a big animal with a short tail...,Elephant,Bear,Giraffe*Girrafe,Pig,Rhino
Name something you'd take with you for an afternoon in the park...,Pic nic*Picnic*Pic-nic,Blanket,Magazine*Book*Read*Newspaper,MP3*Radio*Ipod*Stereo*Music*Radio/Music*CD,Friz*Disc*Frisbee
Name something measured by the spoonful...,Sugar,Medic*Medicine,Salt,Cofee*Coffee,Baking Soda
Name an occasion after which people suffer a little let down...,Marry*Wedding*Marriage,Christmas,Birth Day*Birthday,Childbirth*Baby*Birth of Baby,Graduat*Graduation*Commencement
Name a crunchy food...,Chips*Chip*Crisp,Celery,Carrot*Carrots,Cereal,Popcorn
Name something that has a long life...,Turtle*Tortoise,Tree,Elephant,Battery,People*Person*Human
Name a sound that frightens people...,Thunder*Lightning,Siren*Police,Gun*Gunshot,Yell*Scream,Wolf*Howl
Name something to which people's skin might be overly sensitive...,Sun,Shampoo*Soap,Cosmetic*Make up*Makeup*Make-up,Perfume*Cologn,Wool
Name a sport in which good eyesight is important...,Baseball,Tennis,Archer*Archery*Arrow,Golf,Hunting*Hunt*Shoot
Name something that melts easily...,Butter,IceCream*Ice-Cream*Ice Cream,Snow,Cheese,Chocolate*Choco
Name something you keep in your car in case of emergency on the road...,Flash light*Flashlight*Flash-light,Flares*Torch*Flare,Spare*Tire,Jack,First Aid*First-Aid*First Aid Kit*FirstAid
Name an activity or occupation in which you would use a whistle...,Ump*Referee*Ref,Police*Cop,Coach,Gym Teacher*Gym,Life guard*Lifeguard*Life-guard
Name a food you pack for the beach...,Sandwich*Sandwitch*Sandwiches*Sand-wich,Chips*Chip,Chicken*Chick,Hot Dog*Hot Dogs*HotDog*Hot-Dog,Fruit
Name a reason why you pull over to the side of the highway...,Flat Tire*Flat,Siren*Fire*Police*Ambulance*Cop,Breakdown*Broke*Break,Read Map*Lost*Map*Directions,Tired*Sleepy*Feel Tired*Fatigue
Name an activity from which people come home with sore feet...,Shopping*Shop,Run*Running,Dancing*Danc,Hik*Hiking,Sightsee*Sightseeing*Tour
Name something from home that people take with them on long trips...,Pillow*Cushion,Cloth*Clothing,Suitcase*Bag*Luggage,Camera,Pet*Dog*Hamster*Cat
Name a formerly serious ailment that is easily cured or prevented now...,Polio,Nemonia*Nimonia*Pnimonia*Pnamonia*Neumonia*Namonia*Pneumonia,Tuber*TB*Tuberculosis,Flu,Measles*Meesle*Measle
"Name a place where people ""Check In""...",Lodge*Hotel*Motel,Hospital*ER,Airport,Doctor's Office*Doc,Office*Work
Name a fictional character with enormous strength...,Hercules*Herc,Samson,Atlas,Super-man*Super man*Superman,Hulk*Incredible Hulk
Name something used only in winter...,Shovel*Snow Shovel,Sled,Jacket*Coat,Gloves*Glove,Snowmobile*Snow-mobil*Snowmobil*Snow mobil
Name something your body needs...,Water,Food,Air*Oxygen,Exercis*Activity*Aerob*Exercise,Calcium
Name something you see in front of schools...,Flag,Student*Child*Children*Kid,Buses*Bus,Guard*Crossing Guard*Patrol*Crossing,School Name*Sign*Name
"Name an animal that might weigh more than 1,000 pounds...",Elephant,Rino*Rhino,Whale*Wale,Hippo,Bear
Name something you eat that makes you thirsty,Pop corn*Pop-corn*Popcorn,Potato Chips*Chip,Ham,Peanut*Peanuts,Pizza
Name a mountain chain...,Rock*Rockies,Alps*Alp,Appalachians*Appilachian*Appalachian*Appleachian*Apalachian,Smokies*Smok,Ande*Andes
Name a state that was part of the confederacy during the U.S. Civil War...,Georgia,Virginia,Misissippi*Mississippi*Mississipi*Missisippi*Misisipi,Alabama,South Carolina
Name a food recognizable by its odor...,Onions*Onion,Tuna*Fish,Garlic,Pizza,Cabbage
"Name the musical instrument which sounds worst, played by a beginner...",Violin,Trump*Trumpet,Clarinet,Tuba,Piano
Name a kind of person you never questioned when you were a child...,Teacher*Teach,Father*Mother*Mom*Parent*Dad,Monk*Reverend*Pastor*Religious Authority*Priest*Rabbi,Police*Cop,Principal
Name the first sign that you're getting a cold...,Drip*Sniff*Runny Nose*Runny,Sneez*Sneezing,Sore Throat*Throat,Headache*Head-ache*Head ache,Congest*Stuff*Stuffed Up
Name a place where you would see lots of flowers...,Flower Shop*Florist*Flowershop,Funeral*Wake,Garden,Wedding*Marr,Park
Name a bird...,Robin,Eagle,Parrott*Parott*Parot*Parrot,Cardinal*Card,Blue*Bluebird
Name a place where people daydream...,Office*Work,School*Class,Park,Bathroom*Shower*Restroom*Toilet*Bath,Temple*Synagogue*Church*Sermon
Name a place that sometimes doesn't allow dogs...,Restaurant*Diner,Apartment*Apartment Building*Condo,Lodge*Hotel*Motel,Park,Mall*Grocery*Store
Name something you eat by the slice...,Bread,Pizza,Cake,Pie,Cheese
Name something that kids do when they skip school...,Cinema*Movie*Theatre*Theater*Go To Movies,Mall*Go To Mall,Watch TV*Television*T.V*TV*Teevee,Beach*Go To Beach,Play Video Games*Playstation*Wii*Xbox*Video Games*Video-games
Name something you ask a waiter/waitress for...,Water,Coffee,Ketchup*Catsup,Bill*Check*Tab,Menu
Name an occasion when a teenager wears his or her best clothes...,Prom,Date,Graduat*Graduation,Temple*Church,Wedding*Marr
Name something you associate with Hawaii...,Lae*Lay*Lea*Lie*Lei,Pine-apple*Pine apple*Pineapple,Hula Dancers*Hula,Beach*Sand*Ocean,Loo*Lua*Lau*Luau
